Tahun,Bulan,Jumlah Kasus,Kecamatan,Suhu,Kelembapan,Curah_hujan,Lama_penyinaran_matahari,Angin,Jumlah_penduduk,IR
2019,2019-12-01,4,Lueng Bata,26.3,83.0,22.8,4.0,3.0,24278,16.475821731608864
2019,2019-01-01,16,Kuta Alam,27.0,82.0,14.3,5.3,3.0,43195,37.04132422734113
2019,2019-02-01,7,Kuta Alam,27.0,83.0,17.0,6.8,3.0,43195,16.205579349461743
2019,2019-03-01,2,Kuta Alam,27.2,83.0,12.4,6.3,2.0,43195,4.630165528417641
2019,2019-04-01,1,Kuta Alam,28.0,82.0,10.0,6.0,2.0,43195,2.3150827642088205
2019,2019-05-01,0,Kuta Alam,28.0,79.0,9.0,6.0,3.0,43195,0.0
2019,2019-06-01,0,Kuta Alam,28.2,76.0,4.6,5.0,2.0,43195,0.0
2019,2019-07-01,0,Kuta Alam,28.0,76.0,10.8,6.7,2.0,43195,0.0
2019,2019-08-01,3,Kuta Alam,28.0,72.0,4.0,5.6,3.0,43195,6.945248292626461
2019,2019-09-01,1,Kuta Alam,28.0,79.0,7.3,4.0,2.0,43195,2.3150827642088205
2019,2019-10-01,8,Kuta Alam,26.0,88.0,17.0,3.0,2.0,43195,18.520662113670564
2019,2019-11-01,12,Kuta Alam,26.7,84.0,12.3,4.0,2.0,43195,27.780993170505845
2019,2019-12-01,1,Kuta Alam,26.3,83.0,22.8,4.0,3.0,43195,2.3150827642088205
2019,2019-01-01,0,Kuta Raja,27.0,82.0,14.3,5.3,3.0,13564,0.0
2019,2019-02-01,2,Kuta Raja,27.0,83.0,17.0,6.8,3.0,13564,14.74491300501327
2019,2019-03-01,1,Kuta Raja,27.2,83.0,12.4,6.3,2.0,13564,7.372456502506635
2019,2019-04-01,0,Kuta Raja,28.0,82.0,10.0,6.0,2.0,13564,0.0
2019,2019-05-01,0,Kuta Raja,28.0,79.0,9.0,6.0,3.0,13564,0.0
2019,2019-06-01,0,Kuta Raja,28.2,76.0,4.6,5.0,2.0,13564,0.0
2019,2019-07-01,1,Kuta Raja,28.0,76.0,10.8,6.7,2.0,13564,7.372456502506635
2019,2019-08-01,1,Kuta Raja,28.0,72.0,4.0,5.6,3.0,13564,7.372456502506635
2019,2019-09-01,0,Kuta Raja,28.0,79.0,7.3,4.0,2.0,13564,0.0
2019,2019-10-01,4,Kuta Raja,26.0,88.0,17.0,3.0,2.0,13564,29.48982601002654
2019,2019-11-01,4,Kuta Raja,26.7,84.0,12.3,4.0,2.0,13564,29.48982601002654
2019,2019-12-01,7,Kuta Raja,26.3,83.0,22.8,4.0,3.0,13564,51.607195517546444
2019,2019-01-01,1,Syiah Kuala,27.0,82.0,14.3,5.3,3.0,32317,3.0943466287093484
2019,2019-02-01,4,Syiah Kuala,27.0,83.0,17.0,6.8,3.0,32317,12.377386514837394
2019,2019-03-01,5,Syiah Kuala,27.2,83.0,12.4,6.3,2.0,32317,15.471733143546741
2019,2019-04-01,3,Syiah Kuala,28.0,82.0,10.0,6.0,2.0,32317,9.283039886128044
2019,2019-05-01,0,Syiah Kuala,28.0,79.0,9.0,6.0,3.0,32317,0.0
2019,2019-06-01,0,Syiah Kuala,28.2,76.0,4.6,5.0,2.0,32317,0.0
2019,2019-07-01,0,Syiah Kuala,28.0,76.0,10.8,6.7,2.0,32317,0.0
2019,2019-08-01,3,Syiah Kuala,28.0,72.0,4.0,5.6,3.0,32317,9.283039886128044
2019,2019-09-01,1,Syiah Kuala,28.0,79.0,7.3,4.0,2.0,32317,3.0943466287093484
2019,2019-10-01,2,Syiah Kuala,26.0,88.0,17.0,3.0,2.0,32317,6.188693257418697
2019,2019-11-01,6,Syiah Kuala,26.7,84.0,12.3,4.0,2.0,32317,18.56607977225609
2019,2019-12-01,3,Syiah Kuala,26.3,83.0,22.8,4.0,3.0,32317,9.283039886128044
2019,2019-01-01,14,Ulee Kareng,27.0,82.0,14.3,5.3,3.0,25861,54.13557093693206
2019,2019-02-01,9,Ulee Kareng,27.0,83.0,17.0,6.8,3.0,25861,34.80143845945632
2019,2019-03-01,3,Ulee Kareng,27.2,83.0,12.4,6.3,2.0,25861,11.600479486485442
2019,2019-04-01,1,Ulee Kareng,28.0,82.0,10.0,6.0,2.0,25861,3.866826495495147
2019,2019-05-01,3,Ulee Kareng,28.0,79.0,9.0,6.0,3.0,25861,11.600479486485442
2019,2019-06-01,1,Ulee Kareng,28.2,76.0,4.6,5.0,2.0,25861,3.866826495495147
2019,2019-07-01,0,Ulee Kareng,28.0,76.0,10.8,6.7,2.0,25861,0.0
2019,2019-08-01,2,Ulee Kareng,28.0,72.0,4.0,5.6,3.0,25861,7.733652990990294
2019,2019-09-01,2,Ulee Kareng,28.0,79.0,7.3,4.0,2.0,25861,7.733652990990294
2019,2019-10-01,0,Ulee Kareng,26.0,88.0,17.0,3.0,2.0,25861,0.0
2019,2019-11-01,5,Ulee Kareng,26.7,84.0,12.3,4.0,2.0,25861,19.334132477475737
2019,2019-12-01,19,Ulee Kareng,26.3,83.0,22.8,4.0,3.0,25861,73.46970341440779
2018,2018-01-01,1,Meuraxa,26.4,83.0,22.0,4.6,2.0,22625,4.41988950276243
2018,2018-02-01,2,Meuraxa,27.0,82.0,34.0,6.2,2.0,22625,8.83977900552486
2018,2018-03-01,1,Meuraxa,27.0,82.0,,6.7,2.0,22625,4.41988950276243
2018,2018-04-01,0,Meuraxa,,,,5.0,2.0,22625,0.0
2018,2018-05-01,0,Meuraxa,,,16.7,3.8,2.0,22625,0.0
2018,2018-06-01,1,Meuraxa,28.1,79.0,9.1,5.0,2.0,22625,4.41988950276243
2018,2018-07-01,0,Meuraxa,29.0,74.0,7.0,5.8,3.0,22625,0.0
2018,2018-08-01,1,Meuraxa,28.1,73.0,4.6,6.0,3.0,22625,4.41988950276243
2018,2018-09-01,0,Meuraxa,26.0,77.0,8.6,5.4,2.0,22625,0.0
2018,2018-10-01,1,Meuraxa,26.3,87.0,21.4,4.0,2.0,22625,4.41988950276243
2018,2018-11-01,5,Meuraxa,26.4,89.0,13.0,3.0,2.0,22625,22.099447513812155
2018,2018-12-01,4,Meuraxa,27.0,85.0,45.3,4.4,2.0,22625,17.67955801104972
2018,2018-01-01,0,Jaya Baru,26.4,83.0,22.0,4.6,2.0,25309,0.0
2018,2018-02-01,1,Jaya Baru,27.0,82.0,34.0,6.2,2.0,25309,3.9511636176854084
2018,2018-03-01,1,Jaya Baru,27.0,82.0,,6.7,2.0,25309,3.9511636176854084
2018,2018-04-01,1,Jaya Baru,,,,5.0,2.0,25309,3.9511636176854084
2018,2018-05-01,0,Jaya Baru,,,16.7,3.8,2.0,25309,0.0
2018,2018-06-01,0,Jaya Baru,28.1,79.0,9.1,5.0,2.0,25309,0.0
2018,2018-07-01,1,Jaya Baru,29.0,74.0,7.0,5.8,3.0,25309,3.9511636176854084
2018,2018-08-01,0,Jaya Baru,28.1,73.0,4.6,6.0,3.0,25309,0.0
2018,2018-09-01,0,Jaya Baru,26.0,77.0,8.6,5.4,2.0,25309,0.0
2018,2018-10-01,1,Jaya Baru,26.3,87.0,21.4,4.0,2.0,25309,3.9511636176854084
2018,2018-11-01,2,Jaya Baru,26.4,89.0,13.0,3.0,2.0,25309,7.902327235370817
2018,2018-12-01,5,Jaya Baru,27.0,85.0,45.3,4.4,2.0,25309,19.75581808842704
2018,2018-01-01,0,Banda Raya,26.4,83.0,22.0,4.6,2.0,24699,0.0
2018,2018-02-01,1,Banda Raya,27.0,82.0,34.0,6.2,2.0,24699,4.048746912830478
2018,2018-03-01,2,Banda Raya,27.0,82.0,,6.7,2.0,24699,8.097493825660957
2018,2018-04-01,0,Banda Raya,,,,5.0,2.0,24699,0.0
2018,2018-05-01,0,Banda Raya,,,16.7,3.8,2.0,24699,0.0
2018,2018-06-01,1,Banda Raya,28.1,79.0,9.1,5.0,2.0,24699,4.048746912830478
2018,2018-07-01,2,Banda Raya,29.0,74.0,7.0,5.8,3.0,24699,8.097493825660957
2018,2018-08-01,0,Banda Raya,28.1,73.0,4.6,6.0,3.0,24699,0.0
2018,2018-09-01,0,Banda Raya,26.0,77.0,8.6,5.4,2.0,24699,0.0
2018,2018-10-01,0,Banda Raya,26.3,87.0,21.4,4.0,2.0,24699,0.0
2018,2018-11-01,3,Banda Raya,26.4,89.0,13.0,3.0,2.0,24699,12.146240738491437
2018,2018-12-01,2,Banda Raya,27.0,85.0,45.3,4.4,2.0,24699,8.097493825660957
2018,2018-01-01,1,Baiturrahman,26.4,83.0,22.0,4.6,2.0,32838,3.0452524514282233
2018,2018-02-01,0,Baiturrahman,27.0,82.0,34.0,6.2,2.0,32838,0.0
2018,2018-03-01,0,Baiturrahman,27.0,82.0,,6.7,2.0,32838,0.0
2018,2018-04-01,0,Baiturrahman,,,,5.0,2.0,32838,0.0
2018,2018-05-01,1,Baiturrahman,,,16.7,3.8,2.0,32838,3.0452524514282233
2018,2018-06-01,1,Baiturrahman,28.1,79.0,9.1,5.0,2.0,32838,3.0452524514282233
2018,2018-07-01,0,Baiturrahman,29.0,74.0,7.0,5.8,3.0,32838,0.0
2018,2018-08-01,0,Baiturrahman,28.1,73.0,4.6,6.0,3.0,32838,0.0
2018,2018-09-01,0,Baiturrahman,26.0,77.0,8.6,5.4,2.0,32838,0.0
2018,2018-10-01,3,Baiturrahman,26.3,87.0,21.4,4.0,2.0,32838,9.13575735428467
2018,2018-11-01,2,Baiturrahman,26.4,89.0,13.0,3.0,2.0,32838,6.090504902856447
2018,2018-12-01,1,Baiturrahman,27.0,85.0,45.3,4.4,2.0,32838,3.0452524514282233
2018,2018-01-01,1,Lueng Bata,26.4,83.0,22.0,4.6,2.0,24278,4.118955432902216
2018,2018-02-01,0,Lueng Bata,27.0,82.0,34.0,6.2,2.0,24278,0.0
2018,2018-03-01,0,Lueng Bata,27.0,82.0,,6.7,2.0,24278,0.0
2018,2018-04-01,0,Lueng Bata,,,,5.0,2.0,24278,0.0
2018,2018-05-01,1,Lueng Bata,,,16.7,3.8,2.0,24278,4.118955432902216
2018,2018-06-01,0,Lueng Bata,28.1,79.0,9.1,5.0,2.0,24278,0.0
2018,2018-07-01,2,Lueng Bata,29.0,74.0,7.0,5.8,3.0,24278,8.237910865804432
2018,2018-08-01,0,Lueng Bata,28.1,73.0,4.6,6.0,3.0,24278,0.0
2018,2018-09-01,1,Lueng Bata,26.0,77.0,8.6,5.4,2.0,24278,4.118955432902216
2018,2018-10-01,1,Lueng Bata,26.3,87.0,21.4,4.0,2.0,24278,4.118955432902216
2018,2018-11-01,2,Lueng Bata,26.4,89.0,13.0,3.0,2.0,24278,8.237910865804432
2018,2018-12-01,5,Lueng Bata,27.0,85.0,45.3,4.4,2.0,24278,20.59477716451108
2018,2018-01-01,1,Kuta Alam,26.4,83.0,22.0,4.6,2.0,43195,2.3150827642088205
2018,2018-02-01,1,Kuta Alam,27.0,82.0,34.0,6.2,2.0,43195,2.3150827642088205
2018,2018-03-01,1,Kuta Alam,27.0,82.0,,6.7,2.0,43195,2.3150827642088205
2018,2018-04-01,1,Kuta Alam,,,,5.0,2.0,43195,2.3150827642088205
2018,2018-05-01,1,Kuta Alam,,,16.7,3.8,2.0,43195,2.3150827642088205
2018,2018-06-01,0,Kuta Alam,28.1,79.0,9.1,5.0,2.0,43195,0.0
2018,2018-07-01,1,Kuta Alam,29.0,74.0,7.0,5.8,3.0,43195,2.3150827642088205
2018,2018-08-01,0,Kuta Alam,28.1,73.0,4.6,6.0,3.0,43195,0.0
2018,2018-09-01,1,Kuta Alam,26.0,77.0,8.6,5.4,2.0,43195,2.3150827642088205
2018,2018-10-01,0,Kuta Alam,26.3,87.0,21.4,4.0,2.0,43195,0.0
2018,2018-11-01,4,Kuta Alam,26.4,89.0,13.0,3.0,2.0,43195,9.260331056835282
2018,2018-12-01,4,Kuta Alam,27.0,85.0,45.3,4.4,2.0,43195,9.260331056835282
2018,2018-01-01,1,Kuta Raja,26.4,83.0,22.0,4.6,2.0,13564,7.372456502506635
2018,2018-02-01,1,Kuta Raja,27.0,82.0,34.0,6.2,2.0,13564,7.372456502506635
2018,2018-03-01,1,Kuta Raja,27.0,82.0,,6.7,2.0,13564,7.372456502506635
2018,2018-04-01,0,Kuta Raja,,,,5.0,2.0,13564,0.0
2018,2018-05-01,1,Kuta Raja,,,16.7,3.8,2.0,13564,7.372456502506635
2018,2018-06-01,0,Kuta Raja,28.1,79.0,9.1,5.0,2.0,13564,0.0
2018,2018-07-01,0,Kuta Raja,29.0,74.0,7.0,5.8,3.0,13564,0.0
2018,2018-08-01,0,Kuta Raja,28.1,73.0,4.6,6.0,3.0,13564,0.0
2018,2018-09-01,0,Kuta Raja,26.0,77.0,8.6,5.4,2.0,13564,0.0
2018,2018-10-01,0,Kuta Raja,26.3,87.0,21.4,4.0,2.0,13564,0.0
2018,2018-11-01,3,Kuta Raja,26.4,89.0,13.0,3.0,2.0,13564,22.117369507519903
2018,2018-12-01,3,Kuta Raja,27.0,85.0,45.3,4.4,2.0,13564,22.117369507519903
2018,2018-01-01,1,Syiah Kuala,26.4,83.0,22.0,4.6,2.0,32317,3.0943466287093484
2018,2018-02-01,0,Syiah Kuala,27.0,82.0,34.0,6.2,2.0,32317,0.0
2018,2018-03-01,1,Syiah Kuala,27.0,82.0,,6.7,2.0,32317,3.0943466287093484
2018,2018-04-01,0,Syiah Kuala,,,,5.0,2.0,32317,0.0
2018,2018-05-01,0,Syiah Kuala,,,16.7,3.8,2.0,32317,0.0
2018,2018-06-01,0,Syiah Kuala,28.1,79.0,9.1,5.0,2.0,32317,0.0
2018,2018-07-01,0,Syiah Kuala,29.0,74.0,7.0,5.8,3.0,32317,0.0
2018,2018-08-01,0,Syiah Kuala,28.1,73.0,4.6,6.0,3.0,32317,0.0
2018,2018-09-01,0,Syiah Kuala,26.0,77.0,8.6,5.4,2.0,32317,0.0
2018,2018-10-01,1,Syiah Kuala,26.3,87.0,21.4,4.0,2.0,32317,3.0943466287093484
2018,2018-11-01,9,Syiah Kuala,26.4,89.0,13.0,3.0,2.0,32317,27.849119658384133
2018,2018-12-01,4,Syiah Kuala,27.0,85.0,45.3,4.4,2.0,32317,12.377386514837394
2018,2018-01-01,1,Ulee Kareng,26.4,83.0,22.0,4.6,2.0,25861,3.866826495495147
2018,2018-02-01,0,Ulee Kareng,27.0,82.0,34.0,6.2,2.0,25861,0.0
2018,2018-03-01,0,Ulee Kareng,27.0,82.0,,6.7,2.0,25861,0.0
2018,2018-04-01,1,Ulee Kareng,,,,5.0,2.0,25861,3.866826495495147
2018,2018-05-01,0,Ulee Kareng,,,16.7,3.8,2.0,25861,0.0
2018,2018-06-01,0,Ulee Kareng,28.1,79.0,9.1,5.0,2.0,25861,0.0
2018,2018-07-01,1,Ulee Kareng,29.0,74.0,7.0,5.8,3.0,25861,3.866826495495147
2018,2018-08-01,0,Ulee Kareng,28.1,73.0,4.6,6.0,3.0,25861,0.0
2018,2018-09-01,0,Ulee Kareng,26.0,77.0,8.6,5.4,2.0,25861,0.0
2018,2018-10-01,0,Ulee Kareng,26.3,87.0,21.4,4.0,2.0,25861,0.0
2018,2018-11-01,1,Ulee Kareng,26.4,89.0,13.0,3.0,2.0,25861,3.866826495495147
2018,2018-12-01,3,Ulee Kareng,27.0,85.0,45.3,4.4,2.0,25861,11.600479486485442
2017,2017-01-01,2,Meuraxa,26.0,85.0,23.2,4.0,2.0,19770,10.11633788568538
2017,2017-02-01,1,Meuraxa,27.0,81.0,6.6,5.7,3.0,19770,5.05816894284269
2017,2017-03-01,0,Meuraxa,26.7,82.0,29.0,6.0,2.0,19770,0.0
2017,2017-04-01,1,Meuraxa,27.2,82.0,,4.9,2.0,19770,5.05816894284269
2017,2017-05-01,10,Meuraxa,26.4,76.0,6.8,6.6,2.0,19770,50.58168942842691
2017,2017-06-01,5,Meuraxa,28.0,74.0,,5.3,2.0,19770,25.290844714213456
2017,2017-07-01,4,Meuraxa,29.0,64.0,,6.0,3.0,19770,20.23267577137076
2017,2017-08-01,6,Meuraxa,27.4,76.0,8.0,4.6,3.0,19770,30.349013657056144
2017,2017-09-01,2,Meuraxa,27.1,79.0,9.6,3.0,2.0,19770,10.11633788568538
2017,2017-10-01,1,Meuraxa,27.1,75.0,7.0,6.5,3.0,19770,5.05816894284269
2017,2017-11-01,0,Meuraxa,27.0,85.0,26.0,3.1,2.0,19770,0.0
2017,2017-12-01,2,Meuraxa,26.2,86.0,36.0,3.0,2.0,19770,10.11633788568538
2017,2017-01-01,1,Jaya Baru,26.0,85.0,23.2,4.0,2.0,25503,3.921107320707368
2017,2017-02-01,5,Jaya Baru,27.0,81.0,6.6,5.7,3.0,25503,19.605536603536837
2017,2017-03-01,0,Jaya Baru,26.7,82.0,29.0,6.0,2.0,25503,0.0
2017,2017-04-01,2,Jaya Baru,27.2,82.0,,4.9,2.0,25503,7.842214641414736
2017,2017-05-01,6,Jaya Baru,26.4,76.0,6.8,6.6,2.0,25503,23.52664392424421
2017,2017-06-01,3,Jaya Baru,28.0,74.0,,5.3,2.0,25503,11.763321962122104
2017,2017-07-01,1,Jaya Baru,29.0,64.0,,6.0,3.0,25503,3.921107320707368
2017,2017-08-01,4,Jaya Baru,27.4,76.0,8.0,4.6,3.0,25503,15.684429282829472
2017,2017-09-01,2,Jaya Baru,27.1,79.0,9.6,3.0,2.0,25503,7.842214641414736
2017,2017-10-01,1,Jaya Baru,27.1,75.0,7.0,6.5,3.0,25503,3.921107320707368
2017,2017-11-01,0,Jaya Baru,27.0,85.0,26.0,3.1,2.0,25503,0.0
2017,2017-12-01,3,Jaya Baru,26.2,86.0,36.0,3.0,2.0,25503,11.763321962122104
2017,2017-01-01,1,Banda Raya,26.0,85.0,23.2,4.0,2.0,23919,4.180776788327271
2017,2017-02-01,3,Banda Raya,27.0,81.0,6.6,5.7,3.0,23919,12.542330364981815
2017,2017-03-01,1,Banda Raya,26.7,82.0,29.0,6.0,2.0,23919,4.180776788327271
2017,2017-04-01,1,Banda Raya,27.2,82.0,,4.9,2.0,23919,4.180776788327271
2017,2017-05-01,3,Banda Raya,26.4,76.0,6.8,6.6,2.0,23919,12.542330364981815
2017,2017-06-01,3,Banda Raya,28.0,74.0,,5.3,2.0,23919,12.542330364981815
2017,2017-07-01,0,Banda Raya,29.0,64.0,,6.0,3.0,23919,0.0
2017,2017-08-01,1,Banda Raya,27.4,76.0,8.0,4.6,3.0,23919,4.180776788327271
2017,2017-09-01,1,Banda Raya,27.1,79.0,9.6,3.0,2.0,23919,4.180776788327271
2017,2017-10-01,2,Banda Raya,27.1,75.0,7.0,6.5,3.0,23919,8.361553576654542
2017,2017-11-01,1,Banda Raya,27.0,85.0,26.0,3.1,2.0,23919,4.180776788327271
2017,2017-12-01,2,Banda Raya,26.2,86.0,36.0,3.0,2.0,23919,8.361553576654542
2017,2017-01-01,1,Baiturrahman,26.0,85.0,23.2,4.0,2.0,36721,2.723237384602816
2017,2017-02-01,1,Baiturrahman,27.0,81.0,6.6,5.7,3.0,36721,2.723237384602816
2017,2017-03-01,0,Baiturrahman,26.7,82.0,29.0,6.0,2.0,36721,0.0
2017,2017-04-01,2,Baiturrahman,27.2,82.0,,4.9,2.0,36721,5.446474769205632
2017,2017-05-01,4,Baiturrahman,26.4,76.0,6.8,6.6,2.0,36721,10.892949538411264
2017,2017-06-01,3,Baiturrahman,28.0,74.0,,5.3,2.0,36721,8.169712153808447
2017,2017-07-01,2,Baiturrahman,29.0,64.0,,6.0,3.0,36721,5.446474769205632
2017,2017-08-01,4,Baiturrahman,27.4,76.0,8.0,4.6,3.0,36721,10.892949538411264
2017,2017-09-01,1,Baiturrahman,27.1,79.0,9.6,3.0,2.0,36721,2.723237384602816
2017,2017-10-01,2,Baiturrahman,27.1,75.0,7.0,6.5,3.0,36721,5.446474769205632
2017,2017-11-01,1,Baiturrahman,27.0,85.0,26.0,3.1,2.0,36721,2.723237384602816
2017,2017-12-01,1,Baiturrahman,26.2,86.0,36.0,3.0,2.0,36721,2.723237384602816
2017,2017-01-01,0,Lueng Bata,26.0,85.0,23.2,4.0,2.0,25067,0.0
2017,2017-02-01,3,Lueng Bata,27.0,81.0,6.6,5.7,3.0,25067,11.967925958431403
2017,2017-03-01,1,Lueng Bata,26.7,82.0,29.0,6.0,2.0,25067,3.989308652810468
2017,2017-04-01,2,Lueng Bata,27.2,82.0,,4.9,2.0,25067,7.978617305620936
2017,2017-05-01,4,Lueng Bata,26.4,76.0,6.8,6.6,2.0,25067,15.957234611241873
2017,2017-06-01,5,Lueng Bata,28.0,74.0,,5.3,2.0,25067,19.946543264052337
2017,2017-07-01,7,Lueng Bata,29.0,64.0,,6.0,3.0,25067,27.925160569673274
2017,2017-08-01,4,Lueng Bata,27.4,76.0,8.0,4.6,3.0,25067,15.957234611241873
2017,2017-09-01,1,Lueng Bata,27.1,79.0,9.6,3.0,2.0,25067,3.989308652810468
2017,2017-10-01,1,Lueng Bata,27.1,75.0,7.0,6.5,3.0,25067,3.989308652810468
2017,2017-11-01,1,Lueng Bata,27.0,85.0,26.0,3.1,2.0,25067,3.989308652810468
2017,2017-12-01,3,Lueng Bata,26.2,86.0,36.0,3.0,2.0,25067,11.967925958431403
2017,2017-01-01,2,Kuta Alam,26.0,85.0,23.2,4.0,2.0,51614,3.874917657999768
2017,2017-02-01,2,Kuta Alam,27.0,81.0,6.6,5.7,3.0,51614,3.874917657999768
2017,2017-03-01,0,Kuta Alam,26.7,82.0,29.0,6.0,2.0,51614,0.0
2017,2017-04-01,2,Kuta Alam,27.2,82.0,,4.9,2.0,51614,3.874917657999768
2017,2017-05-01,4,Kuta Alam,26.4,76.0,6.8,6.6,2.0,51614,7.749835315999536
